RegionID,RegionName,City,State,Metro,CountyName,2015-01,2016-01,2016-02,B01001_011E,B01001_035E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B03001_003E,B19013_001E,B19113_001E,B25001_001E,B25002_002E,B25003_002E,B25075_023E,B25075_024E,B25075_025E,B25002_003E,B25077_001E,B25064_001E
62080.0,11368,New York,NY,New York,Queens,457.0,487.0,490.0,7106,4971,46108,14528,1133,11945,64,33471,3136,80287,45014,43909,31120,29031,6009,1801,706,100,2089,461500,1410
93144.0,79936,El Paso,TX,El Paso,El Paso,79.0,79.0,80.0,3934,3891,99673,2134,551,1129,101,8201,1662,96734,52088,55142,36497,34921,24470,62,28,32,1576,121200,963
84630.0,60629,Chicago,IL,Chicago,Cook,120.0,125.0,125.0,4099,4557,40073,25258,576,745,0,46385,1976,78689,40095,43455,34792,30692,17872,61,8,1,4100,149000,883
96193.0,90650,Norwalk,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,309.0,330.0,332.0,3985,3888,57096,4479,968,13793,258,26825,3102,74897,60523,63688,28298,27132,17722,419,48,88,1166,320900,1318
62037.0,11226,New York,NY,New York,Kings,447.0,471.0,475.0,4186,4692,8820,73253,74,3021,22,10306,2803,15946,42182,48552,39474,35998,4662,1037,511,663,3476,485900,1164
62093.0,11385,New York,NY,New York,Queens,359.0,383.0,385.0,4702,4147,81574,2063,318,6907,48,7348,1874,44609,53558,60993,37741,34605,10240,4222,324,16,3136,484900,1276
62031.0,11220,New York,NY,New York,Kings,540.0,592.0,595.0,5700,5192,30019,2509,1473,42006,20,23468,2220,41724,38052,36441,31950,29622,7158,2225,1738,657,2328,617000,1184
96083.0,90201,Bell,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,286.0,314.0,319.0,4299,3883,71613,1144,343,671,62,27154,1528,97775,37013,36483,25202,24249,5724,296,68,12,953,276300,1089
96125.0,90280,South Gate,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,278.0,309.0,311.0,4399,3779,46728,886,312,778,90,45211,1510,91292,43526,44947,24205,23386,11007,351,15,32,819,297200,993
61639.0,10025,New York,NY,New York,New York,1209.0,1306.0,1308.0,4832,6220,63028,15123,849,9368,6,6073,2926,21654,71865,116002,47926,43607,9829,1897,1457,4780,4319,976900,1438
62044.0,11234,New York,NY,New York,Kings,339.0,362.0,363.0,3101,3065,42374,44382,82,4665,6,2637,1464,8076,67713,78885,34479,32314,21679,8356,1165,595,2165,488400,1277
84620.0,60618,Chicago,IL,Chicago,Cook,281.0,298.0,298.0,5521,5259,76907,2351,271,4809,34,8903,2955,43226,56763,65975,39514,35561,15672,2079,739,626,3953,321600,1019
62046.0,11236,New York,NY,New York,Kings,291.0,305.0,305.0,3314,3515,5620,83450,492,2749,0,4377,1026,7217,60135,66897,33997,31920,15407,5796,181,69,2077,467500,1260
96361.0,91331,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,276.0,299.0,301.0,4160,4357,64002,3446,827,5014,83,26786,2209,89237,51345,50340,23345,22307,13081,463,55,71,1038,292400,1292
61148.0,08701,Lakewood Township,NJ,New York,Ocean,141.0,149.0,150.0,4350,3629,83920,3853,152,487,0,3585,1476,15395,41026,42479,26167,23688,11917,1304,117,90,2479,279200,1374
